ProductId,DescriptionProduct
SP0041,"Vải tổng hợp, Mẫu Giày đá bóng của Vans tông be, form ôm chân, hỗ trợ cổ chân và nhẹ nhàng, đi học, kích cỡ 40."
SP0042,"Da tổng hợp, Under Armour phiên bản Giày chạy bộ xám với độ bền đế cao su êm, hỗ trợ đệm êm, chạy bộ đường dài, size 37."
SP0043,"Da tự nhiên, Mẫu Giày training của Adidas tông xanh, form ôm chân, hỗ trợ cổ chân và thoáng khí, dùng hàng ngày, kích cỡ 39."
SP0044,"Vải dệt kỹ thuật cao, Mẫu Giày đá bóng của Reebok tông xanh navy, form ôm chân, kháng nước và nhẹ nhàng, dùng hàng ngày, kích cỡ 37."
SP0045,"Vải dệt kỹ thuật cao, Mizuno ra mắt Giày chạy bộ màu đỏ, nổi bật với khả năng bền bỉ, cùng trải nghiệm chống trượt, leo núi cuối tuần, size 43."
SP0046,"Canvas, Mizuno ra mắt Giày tennis màu xanh, nổi bật với khả năng thoải mái, cùng trải nghiệm đế cao su êm, leo núi cuối tuần, size 36."
SP0047,"Canvas, Puma Giày chạy bộ màu be, thiết kế giảm chấn, mang lại cảm giác nhẹ nhàng, đi chơi, size 42."
SP0048,"Da tự nhiên, New Balance ra mắt Giày chạy bộ màu vàng, nổi bật với khả năng thoáng khí, cùng trải nghiệm đế cao su êm, đi học, size 36."
SP0049,"Cao su, Nike Giày training màu xanh, thiết kế chống trượt, mang lại cảm giác ôm chân tốt, đi chơi, size 45."
SP0050,"Lưới thoáng khí, Nike phiên bản Giày sneaker trắng với độ bền giảm chấn, hỗ trợ hỗ trợ cổ chân, chạy bộ đường dài, size 39."
SP0051,"Mesh, Giày leo núi Asics sắc be, thiết kế chuyên dụng, thoáng khí, nhẹ nhàng, phù hợp thi đấu, size 37."
SP0052,"Canvas, Mẫu Giày leo núi của New Balance tông vàng, form ôm chân, ôm chân tốt và thoải mái, tập gym buổi sáng, kích cỡ 43."
SP0053,"Canvas, Mẫu Giày đá bóng của Adidas tông xanh navy, form ôm chân, bền bỉ và hỗ trợ cổ chân, leo núi cuối tuần, kích cỡ 43."
SP0054,"Mesh, Reebok phiên bản Giày chạy bộ be với độ bền hỗ trợ cổ chân, hỗ trợ thoải mái, đi chơi, size 37."
SP0055,"Canvas, Giày cầu lông Mizuno sắc vàng, thiết kế chuyên dụng, đệm êm, thoải mái, phù hợp dùng hàng ngày, size 41."
SP0056,"Cao su, Mizuno Giày tennis màu xanh, thiết kế độ bám tốt, mang lại cảm giác bền bỉ, đi chơi, size 37."
SP0057,"Da tự nhiên, Vans phiên bản Giày đá bóng cam với độ bền bền bỉ, hỗ trợ độ bám tốt, phù hợp cho người mới, size 37."
SP0058,"Vải tổng hợp, Mẫu Giày chạy bộ của Reebok tông xám, form ôm chân, đế cao su êm và thoải mái, dùng hàng ngày, kích cỡ 36."
SP0059,"Da tổng hợp, Nike phiên bản Giày tennis xám với độ bền hỗ trợ cổ chân, hỗ trợ độ bám tốt, thi đấu, size 43."
SP0060,"Lưới thoáng khí, Giày chạy bộ Converse sắc be, thiết kế chuyên dụng, thoáng khí, ôm chân tốt, phù hợp đi học, size 38."
SP0061,"Lưới thoáng khí, Adidas phiên bản Giày tập gym vàng với độ bền bền bỉ, hỗ trợ chống trượt, chạy bộ đường dài, size 40."
SP0062,"Cao su, Mẫu Giày đá bóng của Under Armour tông cam, form ôm chân, hỗ trợ cổ chân và thoáng khí, đi bộ hằng ngày, kích cỡ 37."
SP0063,"Canvas, Giày đá bóng Adidas sắc be, thiết kế chuyên dụng, giảm chấn, thoải mái, phù hợp thi đấu, size 45."
SP0064,"Vải dệt kỹ thuật cao, Asics Giày đá bóng màu cam, thiết kế nhẹ nhàng, mang lại cảm giác độ bám tốt, dùng hàng ngày, size 45."
SP0065,"Knit, Asics ra mắt Giày đá bóng màu xám, nổi bật với khả năng nhẹ nhàng, cùng trải nghiệm chống trượt, phù hợp cho người mới, size 38."
SP0066,"Mesh, Under Armour phiên bản Giày leo núi đỏ với độ bền độ bám tốt, hỗ trợ kháng nước, phù hợp cho người mới, size 40."
SP0067,"Canvas, Reebok phiên bản Giày leo núi be với độ bền nhẹ nhàng, hỗ trợ giảm chấn, đi chơi, size 39."
SP0068,"Mesh, Under Armour ra mắt Giày cầu lông màu nâu, nổi bật với khả năng đế cao su êm, cùng trải nghiệm độ bám tốt, thi đấu, size 36."
SP0069,"Da tự nhiên, Reebok ra mắt Giày sneaker màu trắng, nổi bật với khả năng kháng nước, cùng trải nghiệm ôm chân tốt, tập gym buổi sáng, size 43."
SP0070,"Da tổng hợp, Mẫu Giày cầu lông của New Balance tông vàng, form ôm chân, chống trượt và độ bám tốt, luyện tập cường độ cao, kích cỡ 37."
SP0071,"Vải tổng hợp, Nike ra mắt Giày tập gym màu đỏ, nổi bật với khả năng kháng nước, cùng trải nghiệm bền bỉ, leo núi cuối tuần, size 45."
SP0072,"Mesh, Adidas ra mắt Giày sneaker màu vàng, nổi bật với khả năng ôm chân tốt, cùng trải nghiệm độ bám tốt, dùng hàng ngày, size 38."
SP0073,"Vải tổng hợp, Adidas phiên bản Giày chạy bộ xanh với độ bền đệm êm, hỗ trợ kháng nước, leo núi cuối tuần, size 45."
SP0074,"Cao su, Giày leo núi Under Armour sắc trắng, thiết kế chuyên dụng, chống trượt, đế cao su êm, phù hợp dùng hàng ngày, size 37."
SP0075,"Vải tổng hợp, Adidas ra mắt Giày sneaker màu xám, nổi bật với khả năng bền bỉ, cùng trải nghiệm giảm chấn, thi đấu, size 42."
SP0076,"Vải tổng hợp, Reebok Giày chạy bộ màu xanh navy, thiết kế bền bỉ, mang lại cảm giác giảm chấn, đi học, size 44."
SP0077,"Da tự nhiên, Mẫu Giày sneaker của Adidas tông xanh navy, form ôm chân, hỗ trợ cổ chân và đệm êm, đi bộ hằng ngày, kích cỡ 43."
SP0078,"Canvas, Giày leo núi Converse sắc be, thiết kế chuyên dụng, thoáng khí, hỗ trợ cổ chân, phù hợp thi đấu, size 38."
SP0079,"Cao su, Giày đá bóng Under Armour sắc đỏ, thiết kế chuyên dụng, độ bám tốt, ôm chân tốt, phù hợp dùng hàng ngày, size 45."
SP0080,"Cao su, Giày training Vans sắc vàng, thiết kế chuyên dụng, bền bỉ, độ bám tốt, phù hợp phù hợp cho người mới, size 36."
SP0081,"Da tổng hợp, Mẫu Giày tennis của Under Armour tông trắng, form ôm chân, giảm chấn và độ bám tốt, tập gym buổi sáng, kích cỡ 39."
SP0082,"Vải dệt kỹ thuật cao, Converse Giày leo núi màu xám, thiết kế thoải mái, mang lại cảm giác đệm êm, đi học, size 42."
SP0083,"Vải dệt kỹ thuật cao, Giày chạy bộ Reebok sắc cam, thiết kế chuyên dụng, bền bỉ, độ bám tốt, phù hợp chạy bộ đường dài, size 43."
SP0084,"Da tự nhiên, Giày tennis Nike sắc đen, thiết kế chuyên dụng, chống trượt, thoải mái, phù hợp tập gym buổi sáng, size 44."
SP0085,"Knit, Under Armour ra mắt Giày chạy bộ màu đỏ, nổi bật với khả năng giảm chấn, cùng trải nghiệm chống trượt, đi học, size 37."
SP0086,"Vải tổng hợp, Asics phiên bản Giày sneaker đỏ với độ bền kháng nước, hỗ trợ độ bám tốt, đi bộ hằng ngày, size 44."
SP0087,"Cao su, Giày tennis Under Armour sắc xanh navy, thiết kế chuyên dụng, bền bỉ, nhẹ nhàng, phù hợp chạy bộ đường dài, size 39."
SP0088,"Da tổng hợp, Giày cầu lông Puma sắc cam, thiết kế chuyên dụng, thoải mái, đế cao su êm, phù hợp đi chơi, size 40."
SP0089,"Canvas, New Balance Giày đá bóng màu xám, thiết kế ôm chân tốt, mang lại cảm giác nhẹ nhàng, đi chơi, size 40."
SP0090,"Knit, Puma phiên bản Giày leo núi trắng với độ bền đế cao su êm, hỗ trợ bền bỉ, đi bộ hằng ngày, size 44."
SP0091,"Vải tổng hợp, Nike Giày tennis màu cam, thiết kế bền bỉ, mang lại cảm giác giảm chấn, đi bộ hằng ngày, size 40."
SP0092,"Da tổng hợp, Giày đá bóng Puma sắc xanh navy, thiết kế chuyên dụng, đế cao su êm, thoáng khí, phù hợp tập gym buổi sáng, size 43."
SP0093,"Vải tổng hợp, Giày training Mizuno sắc be, thiết kế chuyên dụng, thoáng khí, hỗ trợ cổ chân, phù hợp tập gym buổi sáng, size 38."
SP0094,"Canvas, Giày tennis Nike sắc xám, thiết kế chuyên dụng, giảm chấn, nhẹ nhàng, phù hợp thi đấu, size 39."
SP0095,"Lưới thoáng khí, Puma ra mắt Giày training màu trắng, nổi bật với khả năng thoải mái, cùng trải nghiệm đệm êm, leo núi cuối tuần, size 45."
SP0096,"Cao su, New Balance phiên bản Giày đá bóng vàng với độ bền thoáng khí, hỗ trợ đệm êm, đi chơi, size 36."
SP0097,"Mesh, Mẫu Giày đá bóng của Reebok tông xám, form ôm chân, đệm êm và hỗ trợ cổ chân, đi học, kích cỡ 36."
SP0098,"Cao su, New Balance Giày sneaker màu đen, thiết kế hỗ trợ cổ chân, mang lại cảm giác thoải mái, chạy bộ đường dài, size 42."
SP0099,"Cao su, New Balance Giày đá bóng màu cam, thiết kế thoải mái, mang lại cảm giác đế cao su êm, tập gym buổi sáng, size 43."
SP0100,"Vải dệt kỹ thuật cao, Puma ra mắt Giày leo núi màu vàng, nổi bật với khả năng ôm chân tốt, cùng trải nghiệm thoáng khí, chạy bộ đường dài, size 39."
SP0101,"Cao su, Converse ra mắt Giày chạy bộ màu be, nổi bật với khả năng đệm êm, cùng trải nghiệm đế cao su êm, đi học, size 37."
SP0102,"Knit, Mẫu Giày đá bóng của Converse tông vàng, form ôm chân, ôm chân tốt và chống trượt, leo núi cuối tuần, kích cỡ 42."
SP0103,"Da tự nhiên, Giày chạy bộ Adidas sắc xanh, thiết kế chuyên dụng, bền bỉ, đệm êm, phù hợp luyện tập cường độ cao, size 45."
SP0104,"Vải tổng hợp, Giày sneaker Vans sắc đỏ, thiết kế chuyên dụng, độ bám tốt, giảm chấn, phù hợp đi chơi, size 40."
SP0105,"Vải dệt kỹ thuật cao, Adidas Giày training màu đen, thiết kế chống trượt, mang lại cảm giác ôm chân tốt, thi đấu, size 45."
SP0106,"Da tự nhiên, Mẫu Giày tập gym của Puma tông cam, form ôm chân, hỗ trợ cổ chân và nhẹ nhàng, phù hợp cho người mới, kích cỡ 38."
SP0107,"Cao su, Mẫu Giày cầu lông của Under Armour tông be, form ôm chân, thoáng khí và chống trượt, đi học, kích cỡ 36."
SP0108,"Vải tổng hợp, Vans ra mắt Giày đá bóng màu cam, nổi bật với khả năng giảm chấn, cùng trải nghiệm hỗ trợ cổ chân, thi đấu, size 39."
SP0109,"Knit, Asics ra mắt Giày training màu đỏ, nổi bật với khả năng nhẹ nhàng, cùng trải nghiệm chống trượt, tập gym buổi sáng, size 39."
SP0110,"Mesh, Asics Giày chạy bộ màu đỏ, thiết kế nhẹ nhàng, mang lại cảm giác độ bám tốt, dùng hàng ngày, size 42."
SP0111,"Mesh, Mẫu Giày tennis của Vans tông vàng, form ôm chân, thoáng khí và kháng nước, thi đấu, kích cỡ 38."
SP0112,"Canvas, Vans Giày đá bóng màu nâu, thiết kế kháng nước, mang lại cảm giác thoáng khí, dùng hàng ngày, size 39."
SP0113,"Mesh, Mizuno phiên bản Giày sneaker trắng với độ bền đế cao su êm, hỗ trợ hỗ trợ cổ chân, tập gym buổi sáng, size 41."
SP0114,"Knit, Nike Giày sneaker màu xám, thiết kế nhẹ nhàng, mang lại cảm giác đệm êm, luyện tập cường độ cao, size 44."
SP0115,"Mesh, Giày cầu lông Asics sắc đen, thiết kế chuyên dụng, đế cao su êm, đệm êm, phù hợp leo núi cuối tuần, size 38."
SP0116,"Vải tổng hợp, Under Armour Giày đá bóng màu be, thiết kế hỗ trợ cổ chân, mang lại cảm giác kháng nước, phù hợp cho người mới, size 37."
SP0117,"Canvas, Mizuno Giày sneaker màu đen, thiết kế chống trượt, mang lại cảm giác đệm êm, luyện tập cường độ cao, size 38."
SP0118,"Canvas, Converse Giày chạy bộ màu cam, thiết kế đệm êm, mang lại cảm giác thoải mái, chạy bộ đường dài, size 38."
SP0119,"Da tổng hợp, Mizuno ra mắt Giày tennis màu đỏ, nổi bật với khả năng bền bỉ, cùng trải nghiệm đế cao su êm, leo núi cuối tuần, size 42."
SP0120,"Da tổng hợp, New Balance ra mắt Giày tập gym màu đỏ, nổi bật với khả năng thoải mái, cùng trải nghiệm nhẹ nhàng, chạy bộ đường dài, size 42."
SP0121,"Canvas, New Balance ra mắt Giày đá bóng màu cam, nổi bật với khả năng đế cao su êm, cùng trải nghiệm bền bỉ, tập gym buổi sáng, size 36."
SP0122,"Vải dệt kỹ thuật cao, New Balance ra mắt Giày đá bóng màu đen, nổi bật với khả năng nhẹ nhàng, cùng trải nghiệm độ bám tốt, chạy bộ đường dài, size 40."
SP0123,"Vải tổng hợp, New Balance ra mắt Giày đá bóng màu cam, nổi bật với khả năng chống trượt, cùng trải nghiệm thoáng khí, phù hợp cho người mới, size 45."
SP0124,"Da tổng hợp, Mẫu Giày chạy bộ của Reebok tông be, form ôm chân, giảm chấn và độ bám tốt, chạy bộ đường dài, kích cỡ 37."
SP0125,"Mesh, Mẫu Giày tennis của Vans tông đen, form ôm chân, thoải mái và giảm chấn, phù hợp cho người mới, kích cỡ 40."
SP0126,"Mesh, New Balance Giày tennis màu be, thiết kế bền bỉ, mang lại cảm giác độ bám tốt, đi chơi, size 44."
SP0127,"Canvas, Mizuno ra mắt Giày tennis màu trắng, nổi bật với khả năng ôm chân tốt, cùng trải nghiệm thoáng khí, dùng hàng ngày, size 39."
SP0128,"Vải dệt kỹ thuật cao, Puma phiên bản Giày sneaker trắng với độ bền thoáng khí, hỗ trợ ôm chân tốt, đi bộ hằng ngày, size 39."
SP0129,"Vải dệt kỹ thuật cao, Giày training Reebok sắc xám, thiết kế chuyên dụng, nhẹ nhàng, bền bỉ, phù hợp tập gym buổi sáng, size 38."
SP0130,"Vải tổng hợp, Asics Giày training màu cam, thiết kế thoáng khí, mang lại cảm giác chống trượt, chạy bộ đường dài, size 41."
SP0131,"Lưới thoáng khí, Mẫu Giày đá bóng của Asics tông đỏ, form ôm chân, giảm chấn và ôm chân tốt, luyện tập cường độ cao, kích cỡ 44."
SP0132,"Mesh, Converse phiên bản Giày tennis xanh navy với độ bền bền bỉ, hỗ trợ kháng nước, chạy bộ đường dài, size 40."
SP0133,"Vải tổng hợp, Puma ra mắt Giày cầu lông màu xanh, nổi bật với khả năng giảm chấn, cùng trải nghiệm chống trượt, đi bộ hằng ngày, size 41."
SP0134,"Canvas, Mẫu Giày chạy bộ của Mizuno tông cam, form ôm chân, độ bám tốt và đệm êm, dùng hàng ngày, kích cỡ 39."
SP0135,"Vải dệt kỹ thuật cao, Under Armour phiên bản Giày đá bóng be với độ bền ôm chân tốt, hỗ trợ đệm êm, đi chơi, size 37."
SP0136,"Da tự nhiên, Asics phiên bản Giày chạy bộ xám với độ bền nhẹ nhàng, hỗ trợ bền bỉ, leo núi cuối tuần, size 38."
SP0137,"Da tự nhiên, Adidas Giày tennis màu xám, thiết kế đệm êm, mang lại cảm giác ôm chân tốt, đi học, size 36."
SP0138,"Mesh, Puma ra mắt Giày leo núi màu xanh, nổi bật với khả năng thoải mái, cùng trải nghiệm giảm chấn, đi chơi, size 38."
SP0139,"Vải tổng hợp, Giày đá bóng Nike sắc be, thiết kế chuyên dụng, ôm chân tốt, giảm chấn, phù hợp đi chơi, size 36."
SP0140,"Da tổng hợp, Mẫu Giày cầu lông của Under Armour tông cam, form ôm chân, thoải mái và kháng nước, tập gym buổi sáng, kích cỡ 44."
SP0141,"Vải tổng hợp, Puma phiên bản Giày chạy bộ đen với độ bền ôm chân tốt, hỗ trợ kháng nước, đi học, size 36."
SP0142,"Da tổng hợp, Giày cầu lông Asics sắc xanh navy, thiết kế chuyên dụng, kháng nước, ôm chân tốt, phù hợp đi bộ hằng ngày, size 38."
SP0143,"Vải dệt kỹ thuật cao, Adidas phiên bản Giày sneaker xanh navy với độ bền bền bỉ, hỗ trợ đế cao su êm, đi bộ hằng ngày, size 39."
SP0144,"Canvas, Vans Giày đá bóng màu trắng, thiết kế kháng nước, mang lại cảm giác hỗ trợ cổ chân, đi chơi, size 42."
SP0145,"Knit, Giày cầu lông Under Armour sắc xanh, thiết kế chuyên dụng, giảm chấn, hỗ trợ cổ chân, phù hợp leo núi cuối tuần, size 45."
SP0146,"Da tổng hợp, Nike Giày tennis màu xanh navy, thiết kế đế cao su êm, mang lại cảm giác bền bỉ, đi chơi, size 40."
SP0147,"Da tổng hợp, Nike ra mắt Giày cầu lông màu xanh navy, nổi bật với khả năng chống trượt, cùng trải nghiệm kháng nước, đi học, size 38."
SP0148,"Lưới thoáng khí, Under Armour Giày tennis màu đỏ, thiết kế thoải mái, mang lại cảm giác độ bám tốt, đi bộ hằng ngày, size 42."
SP0149,"Da tự nhiên, Converse ra mắt Giày tập gym màu đen, nổi bật với khả năng độ bám tốt, cùng trải nghiệm hỗ trợ cổ chân, thi đấu, size 44."
SP0150,"Canvas, Giày sneaker Under Armour sắc cam, thiết kế chuyên dụng, ôm chân tốt, thoải mái, phù hợp thi đấu, size 43."
SP0151,"Da tự nhiên, Giày training Puma sắc đen, thiết kế chuyên dụng, độ bám tốt, thoáng khí, phù hợp dùng hàng ngày, size 42."
SP0152,"Lưới thoáng khí, Giày tập gym Nike sắc cam, thiết kế chuyên dụng, độ bám tốt, đế cao su êm, phù hợp đi chơi, size 44."
SP0153,"Canvas, Adidas Giày tập gym màu nâu, thiết kế độ bám tốt, mang lại cảm giác chống trượt, dùng hàng ngày, size 37."
SP0154,"Vải dệt kỹ thuật cao, Puma Giày chạy bộ màu vàng, thiết kế ôm chân tốt, mang lại cảm giác giảm chấn, đi bộ hằng ngày, size 45."
SP0155,"Knit, Reebok phiên bản Giày tập gym xám với độ bền giảm chấn, hỗ trợ chống trượt, tập gym buổi sáng, size 39."
SP0156,"Da tự nhiên, Reebok ra mắt Giày đá bóng màu xanh navy, nổi bật với khả năng ôm chân tốt, cùng trải nghiệm giảm chấn, luyện tập cường độ cao, size 44."
SP0157,"Vải tổng hợp, Adidas Giày training màu be, thiết kế nhẹ nhàng, mang lại cảm giác thoải mái, thi đấu, size 43."
SP0158,"Lưới thoáng khí, New Balance phiên bản Giày sneaker nâu với độ bền giảm chấn, hỗ trợ độ bám tốt, leo núi cuối tuần, size 43."
SP0159,"Lưới thoáng khí, Nike Giày leo núi màu xanh navy, thiết kế thoáng khí, mang lại cảm giác đế cao su êm, đi bộ hằng ngày, size 36."
SP0160,"Cao su, Converse phiên bản Giày cầu lông cam với độ bền kháng nước, hỗ trợ đệm êm, dùng hàng ngày, size 36."
SP0161,"Da tổng hợp, Giày sneaker Vans sắc đỏ, thiết kế chuyên dụng, bền bỉ, hỗ trợ cổ chân, phù hợp luyện tập cường độ cao, size 44."
SP0162,"Vải tổng hợp, Asics phiên bản Giày đá bóng trắng với độ bền độ bám tốt, hỗ trợ đế cao su êm, phù hợp cho người mới, size 43."
SP0163,"Vải tổng hợp, Mẫu Giày tennis của Reebok tông trắng, form ôm chân, đệm êm và chống trượt, tập gym buổi sáng, kích cỡ 36."
SP0164,"Knit, Nike ra mắt Giày tennis màu xám, nổi bật với khả năng đệm êm, cùng trải nghiệm bền bỉ, đi học, size 45."
SP0165,"Cao su, Adidas Giày tập gym màu đen, thiết kế giảm chấn, mang lại cảm giác đệm êm, phù hợp cho người mới, size 45."
SP0166,"Mesh, Mẫu Giày tập gym của Asics tông đen, form ôm chân, giảm chấn và ôm chân tốt, dùng hàng ngày, kích cỡ 40."
SP0167,"Canvas, Reebok phiên bản Giày tập gym be với độ bền độ bám tốt, hỗ trợ chống trượt, đi chơi, size 39."
SP0168,"Cao su, Mẫu Giày sneaker của Vans tông trắng, form ôm chân, nhẹ nhàng và thoải mái, tập gym buổi sáng, kích cỡ 41."
SP0169,"Knit, Mẫu Giày tennis của Under Armour tông đỏ, form ôm chân, giảm chấn và nhẹ nhàng, leo núi cuối tuần, kích cỡ 41."
SP0170,"Knit, Puma Giày cầu lông màu xanh navy, thiết kế chống trượt, mang lại cảm giác thoáng khí, phù hợp cho người mới, size 39."
SP0171,"Da tự nhiên, Mẫu Giày chạy bộ của Reebok tông xanh, form ôm chân, đệm êm và giảm chấn, thi đấu, kích cỡ 44."
SP0172,"Lưới thoáng khí, Giày đá bóng Asics sắc trắng, thiết kế chuyên dụng, thoải mái, độ bám tốt, phù hợp chạy bộ đường dài, size 43."
SP0173,"Mesh, Asics Giày training màu be, thiết kế hỗ trợ cổ chân, mang lại cảm giác đế cao su êm, tập gym buổi sáng, size 43."
SP0174,"Da tự nhiên, Vans phiên bản Giày tập gym vàng với độ bền đệm êm, hỗ trợ độ bám tốt, đi học, size 37."
SP0175,"Canvas, Converse Giày tennis màu đỏ, thiết kế thoải mái, mang lại cảm giác bền bỉ, đi bộ hằng ngày, size 36."
SP0176,"Vải dệt kỹ thuật cao, Vans phiên bản Giày sneaker xanh với độ bền thoáng khí, hỗ trợ nhẹ nhàng, tập gym buổi sáng, size 45."
SP0177,"Cao su, Nike Giày tập gym màu xám, thiết kế thoáng khí, mang lại cảm giác đệm êm, dùng hàng ngày, size 39."
SP0178,"Da tự nhiên, Mẫu Giày tennis của Vans tông xanh, form ôm chân, thoáng khí và chống trượt, tập gym buổi sáng, kích cỡ 41."
